family_a,family_b,same_team,rho,basis,note
qb_pass_yds_o,wr_rec_yds_o,Y,0.44,backtest-2015-2025,measured phi=+0.293 n=856 -> rho=sin(pi*phi/2)=+0.44 (was 0.45)
qb_pass_yds_o,qb_pass_tds_o,Y,0.48,backtest-2015-2025,measured phi=+0.318 n=909 -> rho=sin(pi*phi/2)=+0.48 (was 0.40)
qb_pass_tds_o,anytime_td,Y,0.49,backtest-2015-2025,measured phi=+0.324 n=856 -> rho=sin(pi*phi/2)=+0.49 (was 0.35)
qb_pass_yds_o,game_total_o,any,0.33,backtest-2015-2025,measured phi=+0.215 n=903 -> rho=sin(pi*phi/2)=+0.33 (was 0.35)
wr_rec_yds_o,game_total_o,any,0.23,backtest-2015-2025,measured phi=+0.145 n=851 -> rho=sin(pi*phi/2)=+0.23 (was 0.25)
team_ml,team_total_o,Y,0.61,backtest-2015-2025,measured phi=+0.420 n=2869 -> rho=sin(pi*phi/2)=+0.61 (was 0.6)
team_ml,rb_rush_yds_o,Y,0.34,backtest-2015-2025,measured phi=+0.224 n=838 -> rho=sin(pi*phi/2)=+0.34 (was 0.35)
team_ml,rb_rush_att_o,Y,0.42,backtest-2015-2025,measured phi=+0.274 n=838 -> rho=sin(pi*phi/2)=+0.42 (was 0.35)
rb_rush_yds_o,game_total_u,any,-0.05,backtest-2015-2025,measured phi=-0.033 n=832 -> rho=sin(pi*phi/2)=-0.05 (was 0.15)
qb_pass_yds_o,team_ml,Y,0.06,backtest-2015-2025,measured phi=+0.038 n=909 -> rho=sin(pi*phi/2)=+0.06 (was 0.10)
qb_pass_yds_o,qb_pass_yds_o,N,0.17,backtest-2015-2025,measured phi=+0.108 n=388 -> rho=sin(pi*phi/2)=+0.17 (was 0.17)
wr_rec_yds_o,wr_rec_yds_o,Y,0.02,backtest-2015-2025,measured phi=+0.010 n=736 -> rho=sin(pi*phi/2)=+0.02 (was -0.15)
rb_rush_att_o,qb_pass_att_o,Y,-0.16,backtest-2015-2025,measured phi=-0.099 n=838 -> rho=sin(pi*phi/2)=-0.16 (was -0.15)
team_ml,team_total_o,N,-0.58,backtest-2015-2025,measured phi=-0.393 n=909 -> rho=sin(pi*phi/2)=-0.58 (was -0.20)
team_ml,team_ml,N,-0.90,structural,opposite sides of one game are near-exclusive — blocked anyway
game_total_o,team_total_o,any,0.74,backtest-2015-2025,measured phi=+0.532 n=2869 -> rho=sin(pi*phi/2)=+0.74 (was 0.65)
anytime_td,team_total_o,Y,0.31,backtest-2015-2025,measured phi=+0.199 n=856 -> rho=sin(pi*phi/2)=+0.31 (was 0.30)
kicker_pts_o,team_total_o,Y,0.49,backtest-2015-2025,measured phi=+0.325 n=803 -> rho=sin(pi*phi/2)=+0.49 (was 0.30)
team_spread,team_ml,Y,0.93,backtest-2015-2025,measured phi=+0.755 n=903 -> rho=sin(pi*phi/2)=+0.93 (was 0.75)
team_spread,team_spread,N,-0.90,structural,opposite covers near-exclusive (push aside) — blocked anyway
anytime_td,game_total_o,any,0.28,backtest-2015-2025,measured phi=+0.178 n=851 -> rho=sin(pi*phi/2)=+0.28 (was 0.20)
